player_id,name,matched,disposition,source_availability,competition_context,source_name,source_id,source_url,team,games,goals,assists,points,regular_season
2026-001-gavin-mckenna,Gavin McKenna,false,not_eligible,available,,,,,,,,,,
2026-002-ivar-stenberg,Ivar Stenberg,false,not_eligible,available,,,,,,,,,,
2026-003-caleb-malhotra,Caleb Malhotra,false,not_eligible,available,,,,,,,,,,
2026-004-daxon-rudolph,Daxon Rudolph,false,not_eligible,available,,,,,,,,,,
2026-005-alberts-smits,Alberts Smits,false,not_eligible,available,,,,,,,,,,
2026-006-carson-carels,Carson Carels,false,not_eligible,available,,,,,,,,,,
2026-007-chase-reid,Chase Reid,false,not_eligible,available,,,,,,,,,,
2026-008-viggo-bjorck,Viggo Bjorck,false,not_eligible,available,,,,,,,,,,
2026-009-keaton-verhoeff,Keaton Verhoeff,false,not_eligible,available,,,,,,,,,,
2026-010-wyatt-cullen,Wyatt Cullen,true,matched,available,usntdp,Wyatt Cullen,10612,https://ushl.com/ht/#/player/10612/85/Wyatt%20Cullen,NTDP,33,3,14,17,true
2026-010-wyatt-cullen,Wyatt Cullen,true,matched,available,usntdp,Wyatt Cullen,10612,https://ushl.com/ht/#/player/10612/88/Wyatt%20Cullen,NTDP,15,6,10,16,true
2026-011-tynan-lawrence,Tynan Lawrence,false,not_eligible,available,,,,,,,,,,
2026-012-alexander-command,Alexander Command,false,not_eligible,available,,,,,,,,,,
2026-013-malte-gustafsson,Malte Gustafsson,false,not_eligible,available,,,,,,,,,,
2026-014-oscar-hemming,Oscar Hemming,false,not_eligible,available,,,,,,,,,,
2026-015-nikita-klepov,Nikita Klepov,false,not_eligible,available,,,,,,,,,,
2026-016-maddox-dagenais,Maddox Dagenais,false,not_eligible,available,,,,,,,,,,
2026-017-ethan-belchetz,Ethan Belchetz,false,not_eligible,available,,,,,,,,,,
2026-018-oliver-suvanto,Oliver Suvanto,false,not_eligible,available,,,,,,,,,,
2026-019-elton-hermansson,Elton Hermansson,false,not_eligible,available,,,,,,,,,,
2026-020-ilia-morozov,Ilia Morozov,false,not_eligible,available,,,,,,,,,,
2026-021-ryan-lin,Ryan Lin,false,not_eligible,available,,,,,,,,,,
2026-022-liam-ruck,Liam Ruck,false,not_eligible,available,,,,,,,,,,
2026-023-jeffrey-jp-hurlbert,Jeffrey (JP) Hurlbert,false,not_eligible,available,,,,,,,,,,
2026-024-adam-novotny,Adam Novotny,false,not_eligible,available,,,,,,,,,,
2026-025-jonas-lagerberg-hoen,Jonas Lagerberg Hoen,false,not_eligible,available,,,,,,,,,,
